missingPercent,clusterSize,perGroupN,targetPower,sigmaSq,icc,numGroups,betaScale,empiricalPower
0,50,10,0.2,2,0.04,2,0.1718421912,0.185
0.2,50,10,0.2,2,0.04,2,0.1755547918,0.1898
0.4,50,10,0.2,2,0.04,2,0.1804320268,0.1834
0,50,10,0.5,2,0.04,2,0.3021883746,0.4614
0.2,50,10,0.5,2,0.04,2,0.3087075208,0.4586
0.4,50,10,0.5,2,0.04,2,0.3172725641,0.4634
0,50,10,0.8,2,0.04,2,0.4319438233,0.7531
0.2,50,10,0.8,2,0.04,2,0.4412781499,0.7613
0.4,50,10,0.8,2,0.04,2,0.4535361783,0.7538
0,50,10,0.2,2,0.04,4,0.1822511274,0.1835
0.2,50,10,0.2,2,0.04,4,0.1861315188,0.1842
0.4,50,10,0.2,2,0.04,4,0.1913029875,0.1798
0,50,10,0.5,2,0.04,4,0.3021192156,0.447
0.2,50,10,0.5,2,0.04,4,0.3085465786,0.4517
0.4,50,10,0.5,2,0.04,4,0.317117362,0.4532
0,50,10,0.8,2,0.04,4,0.4156361168,0.7561
0.2,50,10,0.8,2,0.04,4,0.4244784816,0.7566
0.4,50,10,0.8,2,0.04,4,0.436270129,0.7535
