missingPercent,clusterSize,perGroupN,targetPower,sigmaSq,icc,numGroups,betaScale,empiricalPower
0,5,10,0.2,2,0.04,2,0.340532892,0.1783
0.2,5,10,0.2,2,0.04,2,0.3577440686,0.1761
0.4,5,10,0.2,2,0.04,2,0.3775287588,0.1719
0,5,10,0.5,2,0.04,2,0.5987864982,0.442
0.2,5,10,0.5,2,0.04,2,0.6290458178,0.4521
0.4,5,10,0.5,2,0.04,2,0.6638551033,0.4508
0,5,10,0.8,2,0.04,2,0.8559957644,0.7544
0.2,5,10,0.8,2,0.04,2,0.8992213741,0.7508
0.4,5,10,0.8,2,0.04,2,0.9489990635,0.7438
0,5,10,0.2,2,0.04,4,0.3611808006,0.1782
0.2,5,10,0.2,2,0.04,4,0.3790898431,0.1789
0.4,5,10,0.2,2,0.04,4,0.4000345745,0.171
0,5,10,0.5,2,0.04,4,0.5986854342,0.4464
0.2,5,10,0.5,2,0.04,4,0.6284298366,0.445
0.4,5,10,0.5,2,0.04,4,0.6631243511,0.4429
0,5,10,0.8,2,0.04,4,0.8236352386,0.7494
0.2,5,10,0.8,2,0.04,4,0.8645583545,0.752
0.4,5,10,0.8,2,0.04,4,0.9122871888,0.7529
