missingPercent,clusterSize,perGroupN,targetPower,sigmaSq,icc,numGroups,betaScale,empiricalPower
0,5,40,0.2,2,0.04,2,0.1717484947,0.1982
0.2,5,40,0.2,2,0.04,2,0.1776124623,0.1936
0.4,5,40,0.2,2,0.04,2,0.1873003684,0.193
0,5,40,0.5,2,0.04,2,0.3020350783,0.4953
0.2,5,40,0.5,2,0.04,2,0.3123190892,0.4998
0.4,5,40,0.5,2,0.04,2,0.3293479461,0.4858
0,5,40,0.8,2,0.04,2,0.4317404325,0.7937
0.2,5,40,0.8,2,0.04,2,0.4464453645,0.7838
0.4,5,40,0.8,2,0.04,2,0.470803037,0.7849
0,5,40,0.2,2,0.04,4,0.2100087242,0.2494
0.2,5,40,0.2,2,0.04,4,0.2185171124,0.2565
0.4,5,40,0.2,2,0.04,4,0.2304109306,0.254
0,5,40,0.5,2,0.04,4,0.3248744704,0.5569
0.2,5,40,0.5,2,0.04,4,0.3371715763,0.5498
0.4,5,40,0.5,2,0.04,4,0.3555533296,0.554
0,5,40,0.8,2,0.04,4,0.4314670519,0.8377
0.2,5,40,0.8,2,0.04,4,0.4469954773,0.826
0.4,5,40,0.8,2,0.04,4,0.4713901043,0.825
