monotone,maxObservations,perGroupN,targetPower,rho,delta,sigmaSq,numGroups,betaScale,empiricalPower
1,5,15,0.2,0.4,0.5,1,2,0.643756759,0.2056
0,5,15,0.2,0.4,0.5,1,2,0.6591513281,0.2106
1,5,40,0.2,0.4,0.5,1,2,0.3795895188,0.2331
0,5,40,0.2,0.4,0.5,1,2,0.389309437,0.2323
1,5,15,0.5,0.4,0.5,1,2,0.9730866209,0.4472
0,5,15,0.5,0.4,0.5,1,2,0.9971819175,0.4389
1,5,40,0.5,0.4,0.5,1,2,0.5733786772,0.527
0,5,40,0.5,0.4,0.5,1,2,0.5883159992,0.5288
1,5,15,0.8,0.4,0.5,1,2,1.2655151002,0.6905
0,5,15,0.8,0.4,0.5,1,2,1.2974911732,0.6784
1,5,40,0.8,0.4,0.5,1,2,0.7452264584,0.7823
0,5,40,0.8,0.4,0.5,1,2,0.7647883988,0.7836
1,5,15,0.2,0.4,0.5,1,4,0.8613482085,0.3727
0,5,15,0.2,0.4,0.5,1,4,0.8816815122,0.3723
1,5,40,0.2,0.4,0.5,1,4,0.5063459159,0.426
0,5,40,0.2,0.4,0.5,1,4,0.5190670597,0.4126
1,5,15,0.5,0.4,0.5,1,4,1.2222693088,0.7222
0,5,15,0.5,0.4,0.5,1,4,1.2522390599,0.7041
1,5,40,0.5,0.4,0.5,1,4,0.7162992363,0.774
0,5,40,0.5,0.4,0.5,1,4,0.7344792852,0.7724
1,5,15,0.8,0.4,0.5,1,4,1.4992499328,0.9082
0,5,15,0.8,0.4,0.5,1,4,1.5372431594,0.9077
1,5,40,0.8,0.4,0.5,1,4,0.8760018014,0.9418
0,5,40,0.8,0.4,0.5,1,4,0.8984051644,0.9397
